level_m,les_share_600,les_share_300,share_ratio,les_share_excl_initial_600,les_share_excl_initial_300,share_ratio_excl_initial,les_abs_600_m2_s,les_abs_300_m2_s,les_abs_ratio,total_abs_600_m2_s,total_abs_300_m2_s,total_abs_ratio
39.9,0.03011,0.04685,1.556,0.05336,0.08838,1.656,4408.6,11342.9,2.573,146425.0,242123.0,1.654
121.7,0.055,0.09572,1.74,0.09923,0.16569,1.67,8933.8,25971.7,2.907,162419.6,271319.2,1.67
207.5,0.06828,0.09308,1.363,0.1248,0.16175,1.296,11718.9,27784.3,2.371,171618.9,298513.4,1.739
297.7,0.06276,0.082,1.307,0.11899,0.14469,1.216,11402.7,25457.9,2.233,181689.6,310463.0,1.709
392.3,0.0649,0.07547,1.163,0.12562,0.13322,1.061,12497.9,23423.1,1.874,192585.1,310355.0,1.612
491.7,0.07132,0.07244,1.016,0.14116,0.12695,0.899,14801.0,22153.0,1.497,207521.6,305798.1,1.474
596.1,0.06642,0.06932,1.044,0.13633,0.1209,0.887,14702.3,21462.0,1.46,221344.0,309628.9,1.399
705.7,0.06924,0.06714,0.97,0.14699,0.1194,0.812,15983.3,22002.6,1.377,230828.6,327732.1,1.42
820.7,0.0723,0.05896,0.815,0.16675,0.10977,0.658,17704.9,21704.9,1.226,244882.8,368157.9,1.503
941.5,0.06445,0.04916,0.763,0.16328,0.09752,0.597,16759.7,20167.1,1.203,260060.2,410269.0,1.578
1068.4,0.05687,0.04426,0.778,0.16212,0.09426,0.581,15780.7,19599.2,1.242,277482.4,442782.4,1.596
1201.6,0.04978,0.04231,0.85,0.15736,0.09566,0.608,14554.7,20044.8,1.377,292363.6,473730.0,1.62
1341.4,0.04987,0.03684,0.739,0.1613,0.08839,0.548,15907.6,18392.9,1.156,318977.3,499200.7,1.565
1488.3,0.04605,0.03152,0.685,0.14472,0.07557,0.522,15683.0,16609.0,1.059,340552.9,526893.0,1.547
1642.5,0.04082,0.02675,0.655,0.1136,0.06078,0.535,14774.6,15160.7,1.026,361906.1,566849.9,1.566
1804.4,0.03875,0.02538,0.655,0.09014,0.0526,0.584,15805.6,15976.3,1.011,407914.5,629528.1,1.543
1974.4,0.03454,0.02233,0.646,0.0713,0.04356,0.611,16419.1,15763.8,0.96,475367.7,706100.1,1.485
