phase,group,n,les_zeta_median,les_zeta_positive,tilting_zeta_median,tilting_zeta_positive,stretching_zeta_median,stretching_zeta_positive,delta_zeta_median,delta_zeta_positive,les_share
1800-2370,treatment,27,3.105955064084579e-05,16,-8.12678632618655e-05,4,2.6635864811238428e-05,26,-2.046494542092756e-05,8,0.37519381838389304
1800-2370,control 0-400 m,35,-3.099934787799862e-05,16,-1.9512997400631073e-05,15,3.92988497717786e-05,34,3.1421043906450717e-05,20,0.39337909347413985
1800-2370,control 400-700 m,98,-2.2802002501776624e-05,43,-0.00018732420906202566,21,2.0025258011208338e-05,80,-0.0002697069770455198,12,0.27502252378366154
1800-2370,control 700-1200 m,110,6.35559678848276e-05,79,-0.00065520186091742,6,4.025416751252137e-05,85,-0.0006312786954048994,14,0.13640324021801498
1800-2370,control 1200-3000 m,152,0.0003353971402756732,144,-0.0007956665747947558,34,0.00022769804006879076,146,-0.00043700223366383755,58,0.1881270646892898
1800-2370,control non-vortex,4096,1.1555224222721072e-05,2396,4.1045292479353946e-05,2377,9.761383804725703e-06,3661,7.798687336546474e-05,2652,0.21772403947137092
2370-2610,treatment,27,0.0006685081505073494,27,-0.00019682698547117433,9,-2.1788913313585854e-05,9,0.000564724235061892,19,0.4364631174185394
2370-2610,control 0-400 m,35,0.0003253906837373169,31,-0.0003217993563610922,14,2.6513581079909682e-05,27,0.0002434060013845048,25,0.33993658009150185
2370-2610,control 400-700 m,98,0.000678553775374099,86,-0.0006018930992081419,38,0.00024094317146077494,73,0.0006018619053273115,63,0.2723078325254775
2370-2610,control 700-1200 m,110,0.00036844809657409427,73,0.0011588910867023463,89,0.0007940544634761448,106,0.002350881282369566,108,0.12427951082501092
2370-2610,control 1200-3000 m,151,-0.0004975152628044242,27,0.0025081111259735406,139,0.0031072840756542998,151,0.005353452229884634,150,0.09512816405323503
2370-2610,control non-vortex,4088,-1.3715051692495523e-05,1708,5.859660529352744e-07,2046,5.0716429787953165e-05,3667,6.670597088217748e-05,2378,0.13014003305628807
2610-2790,treatment,27,-0.0008827262799135042,0,0.004828539554648109,27,0.0033550748879418555,27,0.006425935903345647,27,0.09713219984930355
2610-2790,control 0-400 m,35,-0.0005930905335596508,7,0.0028755433572870866,34,0.001997002691799481,33,0.0039467709427098655,35,0.10136814556809982
2610-2790,control 400-700 m,98,-0.000481170626394375,23,0.0034808057645713923,84,0.002909408483975553,96,0.005212736163852608,98,0.09281984495558959
2610-2790,control 700-1200 m,110,-0.0006404913002463726,7,0.00014312405463803708,58,0.005129126118320988,110,0.00468686422029423,95,0.08640193927499314
2610-2790,control 1200-3000 m,110,-0.0001960013948794121,12,-0.002380106634354699,12,0.00594982170570945,110,0.001953770733883698,79,0.025162357768867327
2610-2790,control non-vortex,4034,-4.567868667969559e-06,1806,-9.602672863425126e-05,1641,7.472847096693836e-05,3491,2.1494067568570894e-06,2029,0.11004226520522606
2790-2850,treatment,27,-0.00042694753354953274,0,-0.0002632159641627397,9,0.002384386838086304,27,0.0007703331933912507,27,0.11629218174124294
2790-2850,control 0-400 m,35,-0.0004106252751760783,1,0.0003620966169347033,23,0.0021794863162044147,35,0.001946254218398921,30,0.10782521047159982
2790-2850,control 400-700 m,98,-0.00018093776337692455,9,-0.000389926174091299,37,0.002260857788342933,94,0.0014034937510744596,76,0.05232675440929384
2790-2850,control 700-1200 m,110,-3.618245366471558e-06,29,-0.001351344942333976,4,0.001447144487232896,104,-0.0009675547056386515,31,0.0039256821062419065
2790-2850,control 1200-3000 m,65,-5.823636466214784e-07,13,-0.0012781365371320472,0,0.0008879584142607098,65,-0.001713174148793556,1,0.0003395775295460323
2790-2850,control non-vortex,4009,-2.1121922814290337e-07,1931,-1.6520159433688376e-05,1885,2.2461416014951424e-05,3206,2.845426616259451e-05,2188,0.08704403508161072
