grid_dx_m,radius_m,mask_mode,level_m,quantity,term,blocks,signed_m2_s,sum_abs_block_integrals_m2_s,sum_spatial_abs_blocks_m2_s,spatial_retained_fraction,temporal_retained_fraction
300,1200.0,fixed_initial,39.88822936505957,les_label,inferred_muscl_label,9,-199.30322054643585,2329.317986935648,12336.705987983754,0.18881198832204152,0.08556290796888179
300,1200.0,fixed_initial,39.88822936505957,les_label,local_les,9,-105.3132709119244,202.1317676326972,4676.484267102392,0.04322301885085579,0.5210129617195746
300,1200.0,fixed_initial,39.88822936505957,les_label,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,39.88822936505957,total,advection,9,-16544.02160508099,21419.830462065096,65430.945387517786,0.3273654436017264,0.7723694001397793
300,1200.0,fixed_initial,39.88822936505957,total,buoyancy,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,39.88822936505957,total,coriolis,9,-10.27185183327302,358.6014585201855,892.3262102069012,0.4018726049042508,0.028644199819100356
300,1200.0,fixed_initial,39.88822936505957,total,external_forcing,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,39.88822936505957,total,guard,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,39.88822936505957,total,initial_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,39.88822936505957,total,les,9,-105.3132709119244,202.1317676326972,4676.484267102392,0.04322301885085579,0.5210129617195746
300,1200.0,fixed_initial,39.88822936505957,total,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,39.88822936505957,total,predictor_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,39.88822936505957,total,projection,9,2.869161054981596e-12,2.0223443128870823e-11,1.7422535353504268e-10,0.11607635007498031,0.1418730251173503
300,1200.0,fixed_initial,39.88822936505957,total,projection_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,39.88822936505957,total,surface_drag,9,-854.679126890554,1007.8422108725581,1626.6582773745608,0.6195783250180998,0.8480287069447108
300,1200.0,fixed_initial,39.88822936505957,total,transport_microphysics_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,121.65909956343168,les_label,inferred_muscl_label,9,-3658.681060311793,5015.807174757905,21936.719218921375,0.22864892077533422,0.7294301660407
300,1200.0,fixed_initial,121.65909956343168,les_label,local_les,9,1953.909594394184,6008.52980723336,12285.987332056811,0.4890555105453999,0.32518929872694863
300,1200.0,fixed_initial,121.65909956343168,les_label,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,121.65909956343168,total,advection,9,-19856.14211749762,26863.51080438906,73011.31554139446,0.36793626584030714,0.7391491850072497
300,1200.0,fixed_initial,121.65909956343168,total,buoyancy,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,121.65909956343168,total,coriolis,9,5.611077257032269,369.2385830460471,896.1121429282136,0.41204506150256054,0.015196345979728023
300,1200.0,fixed_initial,121.65909956343168,total,external_forcing,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,121.65909956343168,total,guard,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,121.65909956343168,total,initial_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,121.65909956343168,total,les,9,1953.909594394184,6008.52980723336,12285.987332056811,0.4890555105453999,0.32518929872694863
300,1200.0,fixed_initial,121.65909956343168,total,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,121.65909956343168,total,predictor_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,121.65909956343168,total,projection,9,1.1557279638922625e-11,1.8927444603089117e-11,1.7440648306048354e-10,0.10852489122508793,0.6106096137793678
300,1200.0,fixed_initial,121.65909956343168,total,projection_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,121.65909956343168,total,surface_drag,9,-542.2287493836258,798.3712040894112,1420.53450432371,0.5620216908912753,0.6791687207732764
300,1200.0,fixed_initial,121.65909956343168,total,transport_microphysics_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,207.51851327172238,les_label,inferred_muscl_label,9,-526.3514100768156,3965.9290678606794,14683.546390152282,0.27009340676176724,0.13271831166681522
300,1200.0,fixed_initial,207.51851327172238,les_label,local_les,9,1724.3419202816872,2060.5136003915795,8513.911250384936,0.24201727499783587,0.8368505405419279
300,1200.0,fixed_initial,207.51851327172238,les_label,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,207.51851327172238,total,advection,9,-25043.973189199736,27470.272678469973,69489.53444746537,0.3953152499422444,0.9116754493969087
300,1200.0,fixed_initial,207.51851327172238,total,buoyancy,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,207.51851327172238,total,coriolis,9,-1.413285145219053,441.46674323943006,952.7637311793167,0.46335385026987663,0.0032013400032096097
300,1200.0,fixed_initial,207.51851327172238,total,external_forcing,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,207.51851327172238,total,guard,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,207.51851327172238,total,initial_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,207.51851327172238,total,les,9,1724.3419202816872,2060.5136003915795,8513.911250384936,0.24201727499783587,0.8368505405419279
300,1200.0,fixed_initial,207.51851327172238,total,mask_motion,9,0.0,0.0,0.0,,
