level_m,gross_production_600_m2_s,gross_production_300_m2_s,gross_ratio,net_production_600_m2_s,net_production_300_m2_s,net_over_gross_600,net_over_gross_300,transport_600_m2_s,transport_300_m2_s,transport_share_600,transport_share_300
39.9,6859.5,17206.3,2.508,-249.2,-105.4,0.0363,0.0061,-1275.5,3491.6,0.1568,0.1687
121.7,53789.2,101829.6,1.893,-5970.9,886.6,0.111,0.0087,6329.7,4129.4,0.1053,0.039
207.5,42189.6,90325.2,2.141,-6723.2,11245.2,0.1594,0.1245,10296.0,-1008.9,0.1962,0.011
297.7,46756.2,83754.2,1.791,566.5,17946.9,0.0121,0.2143,6398.9,-6236.7,0.1204,0.0693
392.3,53175.4,86073.5,1.619,2472.4,17024.2,0.0465,0.1978,4180.1,-7443.6,0.0729,0.0796
491.7,56338.8,80856.9,1.435,6678.1,10616.6,0.1185,0.1313,2117.1,-4731.9,0.0362,0.0553
596.1,56693.9,78634.7,1.387,6258.7,2335.1,0.1104,0.0297,3204.0,-869.6,0.0535,0.0109
705.7,53728.9,79183.2,1.474,8319.6,2131.6,0.1548,0.0269,-3322.0,-2985.5,0.0582,0.0363
820.7,50271.5,80979.7,1.611,11085.8,8962.7,0.2205,0.1107,-8913.0,-9100.9,0.1506,0.101
941.5,46339.7,82937.1,1.79,14345.5,18543.3,0.3096,0.2236,-12998.2,-17285.5,0.2191,0.1725
1068.4,36627.0,76173.7,2.08,14512.6,15595.8,0.3962,0.2047,-11719.8,-14551.5,0.2424,0.1604
1201.6,24338.4,64231.1,2.639,11703.7,4106.7,0.4809,0.0639,-10328.3,-3297.3,0.2979,0.0488
1341.4,21988.0,61916.6,2.816,2597.1,-2480.9,0.1181,0.0401,-4823.7,2765.8,0.1799,0.0428
1488.3,27007.5,58671.9,2.172,-6134.3,-5220.1,0.2271,0.089,1309.4,5727.2,0.0462,0.0889
1642.5,34876.8,56230.5,1.612,-9603.0,-6876.3,0.2753,0.1223,3956.9,6123.0,0.1019,0.0982
1804.4,38817.2,51250.7,1.32,-8321.8,-6508.3,0.2144,0.127,3828.2,5695.3,0.0898,0.1
1974.4,38721.0,51802.0,1.338,-7868.6,-3743.9,0.2032,0.0723,4923.0,3678.6,0.1128,0.0663
